column_name,inferred_feature_type,recommended_preprocessing_group,needs_manual_review,issue_flags,dtype,total_count,non_missing_count,missing_count,missing_percentage,unique_non_missing_count,unique_non_missing_ratio,is_numeric,is_integer_like,date_parse_success_rate,sample_values
mo_sin_old_il_acct,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1260457,109109,0.0796668433649784,523,0.00041492887103645743,True,True,,"148.0, 113.0, 125.0, 128.0, 338.0"
mo_sin_old_rev_tl_op,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299289,70277,0.05131333575745893,758,0.000583395995810016,True,True,,"128.0, 192.0, 184.0, 210.0, 54.0"
mo_sin_rcnt_rev_tl_op,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299289,70277,0.05131333575745893,288,0.00022165969233942564,True,True,,"3.0, 2.0, 14.0, 4.0, 32.0"
mo_sin_rcnt_tl,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,197,0.00015162127007827352,True,True,,"3.0, 2.0, 14.0, 4.0, 32.0"
mort_acc,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1319536,50030,0.036529820395658184,39,2.9555843872391508e-05,True,True,,"1.0, 4.0, 5.0, 6.0, 0.0"
mths_since_recent_bc,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1306300,63266,0.046194195825538895,491,0.0003758707800658348,True,True,,"4.0, 2.0, 101.0, 36.0, 12.0"
mths_since_recent_inq,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1190992,178574,0.13038729057234189,26,2.183054126308153e-05,True,True,,"4.0, 0.0, 10.0, 1.0, 8.0"
num_accts_ever_120_pd,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,39,3.0016393568795266e-05,True,True,,"2.0, 0.0, 1.0, 4.0, 5.0"
num_actv_bc_tl,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,34,2.6168137983052282e-05,True,True,,"2.0, 5.0, 4.0, 6.0, 3.0"
num_actv_rev_tl,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,52,4.002185809172702e-05,True,True,,"4.0, 5.0, 3.0, 6.0, 2.0"
num_bc_sats,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1310976,58590,0.04277997555429968,52,3.9665104471782856e-05,True,True,,"2.0, 13.0, 5.0, 4.0, 3.0"
num_bc_tl,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,68,5.2336275966104564e-05,True,True,,"5.0, 17.0, 4.0, 9.0, 2.0"
num_il_tl,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,114,8.774022735494e-05,True,True,,"3.0, 6.0, 10.0, 2.0, 7.0"
num_op_rev_tl,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,74,5.6954182668996144e-05,True,True,,"4.0, 20.0, 7.0, 9.0, 3.0"
num_rev_accts,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299289,70277,0.05131333575745893,108,8.312238462728462e-05,True,True,,"9.0, 27.0, 7.0, 19.0, 4.0"
num_rev_tl_bal_gt_0,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,46,3.540395138883544e-05,True,True,,"4.0, 5.0, 3.0, 6.0, 2.0"
num_sats,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1310976,58590,0.04277997555429968,83,6.331160906073032e-05,True,True,,"7.0, 22.0, 6.0, 12.0, 5.0"
num_tl_90g_dpd_24m,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,30,2.3089533514457895e-05,True,True,,"0.0, 1.0, 2.0, 4.0, 12.0"
num_tl_op_past_12m,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,32,2.462883574875509e-05,True,True,,"3.0, 2.0, 0.0, 4.0, 1.0"
open_acc,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369537,29,2.1174591074836846e-05,84,6.133459702074497e-05,True,True,,"7.0, 22.0, 6.0, 12.0, 5.0"
pub_rec,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369537,29,2.1174591074836846e-05,39,2.847677718820302e-05,True,True,,"0.0, 1.0, 2.0, 3.0, 5.0"
pub_rec_bankruptcies,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1368201,1365,0.0009966660971431826,12,8.770641155795091e-06,True,True,,"0.0, 1.0, 2.0, 3.0, 8.0"
tax_liens,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369461,105,7.666662285716789e-05,37,2.7017928951609428e-05,True,True,,"0.0, 2.0, 1.0, 3.0, 5.0"
tot_coll_amt,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1299290,70276,0.05131260559914601,12951,0.009967751618191474,True,True,,"722.0, 0.0, 8341.0, 60.0, 1830.0"
total_acc,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1369537,29,2.1174591074836846e-05,144,0.00010514502346413422,True,True,,"13.0, 38.0, 18.0, 35.0, 6.0"
total_bc_limit,numeric_discrete_or_count,numeric_discrete_or_count,False,,float64,1369566,1319536,50030,0.036529820395658184,17189,0.013026548726218914,True,True,,"2400.0, 79300.0, 6200.0, 20300.0, 9400.0"
